Department,Number,Description,coAndPrerequisites
BIOL,365,Animal Physiology,Complete all of the followingComplete 1 of the followingComplete all of: BIOL184 - Evolution and Biodiversity (1.5)BIOL186 - Physiology and Cell Biology (1.5)Complete all of: BIOL190B - General Biology II (1.5)Complete all of: BIOL225 - Principles of Cell Biology (1.5)minimum third-year standing.
BIOL,366,Plant Physiology,Complete all of: BIOL225 - Principles of Cell Biology (1.5)
BIOL,367,Neurobiology: Molecules to Behaviour,Complete 1 of: BIOL360 - Cell Biology (1.5)BIOL365 - Animal Physiology (1.5)BME200 - Molecular and Cellular Physiology for Engineers (1.5)BME201 - Quantitative Human Physiology (1.5)
BIOL,370,Conservation Biology,Complete all of the followingComplete 1 of: BIOL186 - Physiology and Cell Biology (1.5)BIOL190A - General Biology I (1.5)Complete all of: BIOL215 - Principles of Ecology (1.5)BIOL230 - Principles of Genetics (1.5)Complete 1 of: STAT255 - Statistics for Life Sciences I (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)
BIOL,400,History of Biology,Minimum third-year standing.
BIOL,401A,Biotechnology,Completed or concurrently enrolled in 1 of: BIOL360 - Cell Biology (1.5)BIOL361 - Molecular Genetics and Genomics (1.5)BIOC300B - General Biochemistry II (1.5)
BIOL,404,Sensory Biology,Complete 1 of: BIOL360 - Cell Biology (1.5)BIOL367 - Neurobiology: Molecules to Behaviour (1.5)BIOL409A - Neurobiology: Molecules to Behaviour  (1.5)
BIOL,409B,Experimental Neurobiology,Complete all of: BIOL367 - Neurobiology: Molecules to Behaviour (1.5)or permission of the department.
BIOL,410,Herpetology,Complete 1 of: BIOL307 - Chordate Zoology (1.5)BIOL207 - Chordate Zoology (1.5)
BIOL,415C,Mycology,Complete all of: BIOL215 - Principles of Ecology (1.5)BIOL225 - Principles of Cell Biology (1.5)BIOL230 - Principles of Genetics (1.5)
BIOL,418,Forest Ecology,Complete all of the followingComplete all of: BIOL215 - Principles of Ecology (1.5)minimum third year standing.
BIOL,432,Molecular Endocrinology,Complete 1 of: BIOL360 - Cell Biology (1.5)BIOL365 - Animal Physiology (1.5)BIOC299 - Biochemistry for Non-Majors (1.5)BIOC300A - General Biochemistry I (1.5)BIOC300B - General Biochemistry II (1.5)
BIOL,435,Molecular Evolution,Complete all of: BIOL230 - Principles of Genetics (1.5)
BIOL,436,Human Molecular Genetics,Complete all of the followingComplete all of: BIOL225 - Principles of Cell Biology (1.5)BIOL230 - Principles of Genetics (1.5)Complete 1 of: BIOL361 - Molecular Genetics and Genomics (1.5)BIOC300A - General Biochemistry I (1.5)BIOC300B - General Biochemistry II (1.5)or permission of the department.
BIOL,438,Nutrient Cycling and Prokaryotes,Complete 1 of the followingComplete 2 of: BIOL215 - Principles of Ecology (1.5)BIOL225 - Principles of Cell Biology (1.5)BIOL230 - Principles of Genetics (1.5)Complete all of: MICR200A - Introductory Microbiology I (1.5)MICR200B - Introductory Microbiology II (1.5)or permission of the department.
BIOL,439,Molecular Epidemiology,Complete all of the followingComplete all of: BIOL225 - Principles of Cell Biology (1.5)BIOL230 - Principles of Genetics (1.5)Complete 1 of: STAT255 - Statistics for Life Sciences I (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)
BIOL,446,Advanced Aquatic Ecology,Complete all of the followingComplete 1 of: BIOL215 - Principles of Ecology (1.5)BIOL311 - Biological Oceanography (1.5)BIOL311B - Chemical and Biological Oceanography (1.5)BIOL330 - Study Design and Data Analysis (1.5)EOS311 - Biological Oceanography (1.5)ES310 - Ecological Methods (1.5)ES344 - Study Design and Data Analysis (1.5)GEOG371 - Water Resources Management (1.5)minimum fourth-year standing.
BIOL,447,Ion Channels and Disease,Complete 1 of: BIOL360 - Cell Biology (1.5)BIOL365 - Animal Physiology (1.5)
