Department,Number,Description,coAndPrerequisites
PHYS,422,Electromagnetic Theory,Complete all of: PHYS326 - Electricity and Magnetism (1.5)MATH301 - Complex Variables (1.5)MATH342 - Intermediate Ordinary Differential Equations (1.5)MATH346 - Introduction to Partial Differential Equations (1.5)
PHYS,423,Quantum Mechanics II,Complete all of: PHYS321A - Classical Mechanics I (1.5)PHYS323 - Quantum Mechanics I (1.5)MATH301 - Complex Variables (1.5)MATH342 - Intermediate Ordinary Differential Equations (1.5)MATH346 - Introduction to Partial Differential Equations (1.5)
PHYS,424,Particle Physics,Complete all of: PHYS423 - Quantum Mechanics II (1.5)or permission of the department.
PHYS,426,Fluid Mechanics,Complete all of the followingComplete 1 of: PHYS217 - Thermodynamics (1.5)PHYS317 - Thermodynamics (1.5)Complete all of: PHYS321A - Classical Mechanics I (1.5)
PHYS,427,Geophysics,Complete all of: PHYS321A - Classical Mechanics I (1.5)PHYS326 - Electricity and Magnetism (1.5)
PHYS,429A,Honours Laboratory,Minimum fourth-year standingor permission of the department.
PHYS,432,Medical Physics,Complete 1 of the followingComplete 1 of: PHYS313 - Atomic and Molecular Physics (1.5)PHYS314 - Nuclear Physics and Radioactivity (1.5)PHYS323 - Quantum Mechanics I (1.5)Complete all of: BME335 - Biosensors and Instrumentation (1.5)MATH204 - Calculus IV (1.5)
PHYS,438,Solid State Physics II,Complete all of: PHYS328 - Solid State Physics I (1.5)
PHYS,441,Physical Oceanography,Complete all of the followingComplete 1 of: EOS225 - Earth System Modelling (1.5)MATH204 - Calculus IV (1.5)Complete 1 of the followingComplete all of: PHYS102 - General Physics (3.0)Complete all of: PHYS102A - General Physics I (1.5)PHYS102B - General Physics II (1.5)Complete all of: PHYS110 - Introductory Physics I (1.5)PHYS111 - Introductory Physics II (1.5)Complete all of: PHYS120 - Physics I (1.5)PHYS130 - Physics II (1.5)or permission of the department.
PHYS,460A,Colloquium I,
PHYS,460B,Colloquium II,Complete all of: PHYS460A - Colloquium I (0)
PHYS,480,Advanced Special Topics in Physics,Permission of the department.
PHYS,490,Directed Studies,Permission of the department.
PHYS,499,Honours Thesis,Complete all of the followingMinimum fourth-year standingdeclared in an Honours program offered by the department.
